Task Name,Description,Status,Priority,Estimate,Tags,Dependencies,Acceptance Criteria
Discovery: confirm multi-organization requirements,"Confirm expected owner/admin/manager behavior across multiple companies, separate views, combined views, permissions, billing/account assumptions, and audit expectations.",To Do,High,4h,"multi-org,product,discovery",,"Approved product notes covering org switcher, combined timeline, roles, and permission rules."
Discovery: confirm live Activities display requirements,"Confirm projector/big-screen use case, refresh expectations, update frequency, data freshness, visible indicators, and whether polling is acceptable for phase 1.",To Do,High,3h,"activities,realtime,product,discovery",,"Approved product notes covering refresh method, target latency, and live display UX."
Technical design: multi-organization access model,"Design database and auth changes for users who can belong to multiple organizations with per-org roles such as owner, admin, manager, and employee.",To Do,Urgent,1d,"multi-org,backend,architecture","Discovery: confirm multi-organization requirements","Design document includes schema, JWT/session behavior, migration strategy, and backward compatibility plan."
Technical design: combined organization reporting,"Design how cross-org dashboards and activity timelines should query, aggregate, authorize, color-code, and filter data.",To Do,High,1d,"multi-org,analytics,architecture","Technical design: multi-organization access model","Design covers API shape, response fields, org metadata, filters, and performance considerations."
Technical design: real-time Activities updates,"Choose phase 1 and phase 2 architecture for live timeline updates: polling first or WebSocket/SSE push later.",To Do,High,1d,"activities,realtime,architecture","Discovery: confirm live Activities display requirements","Design includes update frequency, backend load impact, frontend state handling, and failure states."
Database: add organization membership table,"Create migration for user_organization_memberships with user_id, organization_id, role, status, timestamps, and constraints.",To Do,Urgent,1d,"multi-org,database","Technical design: multi-organization access model","Migration applies cleanly and supports one user across multiple organizations."
Database: migrate existing users into memberships,"Backfill all existing users into user_organization_memberships based on users.organization_id and role.",To Do,Urgent,1d,"multi-org,database,migration","Database: add organization membership table","Existing accounts continue working after migration."
Backend: update auth login for multiple organizations,"Modify login/me responses so users with multiple memberships can receive available organizations and an active organization context.",To Do,Urgent,2d,"multi-org,backend,auth","Database: migrate existing users into memberships","Login returns organizations list and active org without breaking existing clients."
Backend: add organization switch endpoint,"Add endpoint to switch active organization and issue/update token/session for the selected authorized organization.",To Do,High,1d,"multi-org,backend,auth","Backend: update auth login for multiple organizations","User can switch only to organizations where they have active membership."
Backend: add create organization for existing owner/admin,"Allow an existing authorized user to create another organization and become owner/admin of it.",To Do,High,2d,"multi-org,backend,organizations","Backend: update auth login for multiple organizations","Existing user can create Career Guide and Styling Minds style separate orgs under one account."
Backend: update authorization middleware for memberships,"Ensure protected APIs validate the active org against membership instead of assuming users.organization_id only.",To Do,Urgent,2d,"multi-org,backend,security","Backend: add organization switch endpoint","Unauthorized org access is rejected consistently across web APIs."
Backend: update org-scoped service queries,"Audit and update services that use auth.OrganizationID so they remain correctly scoped under the active organization.",To Do,High,2d,"multi-org,backend,security","Backend: update authorization middleware for memberships","Teams, invites, attendance, screenshots, recordings, settings, usage, and live views remain org-isolated."
Frontend: add organization switcher to dashboard shell,"Add a visible org switcher in the dashboard layout with current company name and available companies.",To Do,High,1d,"multi-org,frontend,ux","Backend: add organization switch endpoint","User can switch between companies without signing out."
Frontend: update AuthContext for multiple organizations,"Store organizations list, active organization, and switch organization action in AuthContext.",To Do,High,1d,"multi-org,frontend,auth","Backend: update auth login for multiple organizations","Frontend session restore correctly loads multi-org state."
Frontend: add create organization flow,"Add UI flow for an authorized user to create another organization from the dashboard.",To Do,Medium,1d,"multi-org,frontend,organizations","Backend: add create organization for existing owner/admin","User can create a new company and switch into it."
Backend: combined activity timeline API,"Add endpoint or query mode to return timeline data across selected authorized organizations.",To Do,High,2d,"multi-org,activities,backend","Technical design: combined organization reporting","API returns employees with organizationId, organizationName, and organization color metadata."
Frontend: combined activity timeline filters,"Add Activities page filter for current organization vs selected organizations vs all organizations.",To Do,High,1d,"multi-org,activities,frontend","Backend: combined activity timeline API","User can view separate or combined timelines."
